mode; se_or_pa; number; solver; ver; instance; timeout; width; validation_result; exit_status; time_real; time_user; time_sys; time_perc; time_mem
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; 4x12_torusGrid.gr; 100s; -1; 2; 124; 100.09; 96.28; 2.05; 98%; 447148
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; 6s10.gaifman.gr; 100s; -1; 2; 124; 100.01; 93.20; 3.26; 96%; 89896
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; 6s11-opt.gaifman.gr; 100s; -1; 2; 124; 100.02; 93.09; 3.17; 96%; 108236
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; 6s12.gaifman.gr; 100s; -1; 2; 124; 100.01; 93.88; 2.82; 96%; 91588
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; 8x6_torusGrid.gr; 100s; -1; 2; 124; 100.07; 96.33; 2.07; 98%; 653784
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; AProVE07-01.gaifman.gr; 100s; -1; 2; 124; 100.01; 93.50; 3.24; 96%; 124440
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; AProVE07-03.gaifman.gr; 100s; -1; 2; 124; 100.00; 93.10; 3.44; 96%; 48196
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; AhrensSzekeresGeneralizedQuadrangleGraph_3.gr; 100s; 18; 0; 0; 1.72; 1.55; 1.95; 204%; 82680
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; BalancedTree_3,5.gr; 100s; 2; 0; 0; 0.11; 0.10; 0.00; 92%; 25484
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; BiggsSmithGraph.gr; 100s; -1; 2; 124; 100.05; 96.07; 2.07; 98%; 220896
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; BlanusaSecondSnarkGraph.gr; 100s; 5; 0; 0; 0.82; 0.63; 1.77; 292%; 78700
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; BrinkmannGraph.gr; 100s; 9; 0; 0; 1.14; 2.06; 2.42; 394%; 83556
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; BrouwerHaemersGraph.gr; 100s; -1; 2; 124; 100.01; 99.65; 0.24; 99%; 44360
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; BubbleSortGraph_5.gr; 100s; -1; 2; 124; 100.04; 94.91; 3.44; 98%; 175392
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; CameronGraph.gr; 100s; -1; 2; 124; 100.00; 92.50; 5.31; 97%; 44112
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; Cell120.gr; 100s; -1; 2; 124; 100.00; 92.64; 7.31; 99%; 43976
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; ChvatalGraph.gr; 100s; 7; 0; 0; 0.40; 0.35; 1.62; 486%; 72308
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; ClebschGraph.gr; 100s; 9; 0; 0; 0.60; 0.37; 1.42; 295%; 74840
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; CycleGraph_100.gr; 100s; 3; 0; 0; 0.16; 0.13; 0.02; 94%; 30232
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; DejterGraph.gr; 100s; -1; 2; 124; 100.03; 94.39; 3.99; 98%; 123932
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; DesarguesGraph.gr; 100s; 7; 0; 0; 1.09; 2.16; 2.19; 400%; 83000
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; DodecahedralGraph.gr; 100s; 7; 0; 0; 1.25; 3.19; 2.08; 419%; 80584
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; DorogovtsevGoltsevMendesGraph.gr; 100s; 3; 0; 0; 5.76; 5.29; 0.33; 97%; 180588
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; DoubleStarSnark.gr; 100s; -1; 2; 124; 100.01; 71.32; 54.43; 125%; 94708
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; DyckGraph.gr; 100s; 8; 0; 0; 90.24; 87.43; 1.61; 98%; 416556
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; EUR.gr.xz; 100s; -1; 2; 124; 100.18; 96.97; 3.11; 99%; 4429340
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; ErreraGraph.gr; 100s; 7; 0; 0; 0.69; 0.45; 2.24; 388%; 78516
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; FibonacciTree_10.gr; 100s; 2; 0; 0; 0.09; 0.07; 0.01; 89%; 25020
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; FlowerSnark.gr; 100s; 7; 0; 0; 1.16; 2.33; 1.44; 326%; 76616
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; FoldedCubeGraph_7.gr; 100s; -1; 2; 124; 100.02; 96.88; 1.56; 98%; 224248
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; FolkmanGraph.gr; 100s; 7; 0; 0; 0.99; 1.03; 1.94; 299%; 78756
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; FosterGraph.gr; 100s; -1; 2; 124; 100.04; 96.40; 1.80; 98%; 235716
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; FriendshipGraph_10.gr; 100s; 3; 0; 0; 0.08; 0.06; 0.00; 91%; 19708
ex; pa; 3; PARALLEL-BZTreewidth-DP-LS.exe; 1; GNP_20_10_0.gr; 100s; 5; 0; 0; 0.20; 0.23; 1.20; 720%; 44260
